datasetid,recordid,nom_parking,company,adresse,ville,code_postal,geo,gares_id,24/24,time_opening,time_closing,prix_jour,prix_semaine,camera,handicape,hauteur_maximum,nombre_de_places
parking,27,Parking Colonel Fabien,Saemes,3 rue Louis Blanc,Paris,75010,"48.878795, 2.369113",305,true,0.00,0.00,37.90,,TRUE,TRUE,1.9,96
parking,28,Parking Roquette,Saemes,Face au 19 rue Servan,Paris,75011,"48.86015, 2.38351",501.376,true,0.00,0.00,35.40,,TRUE,FALSE,1.9,292
parking,29,Parking Reuilly-Diderot,Saemes,34 rue de Reuilly,Paris,75012,"48.84622, 2.387776",582.307,true,0.00,0.00,36.90,93,TRUE,VRAI,3.5,147
parking,30,"Parking Van Gogh
",Saemes,205 rue de Bercy,Paris,75012,"48.84478, 2.37186",38,true,0.00,0.00,28.20,,FALSE,FALSE,1.9,183
parking,31,Parking Bercy Seine,Saemes,Intersection de la rue joseph Kessel et 210 quai de Bercy - prendre élargissement de chaussée,Paris,75012,"48.833875, 2.382319",71.307,true,0.00,0.00,34.20,97,TRUE,TRUE,1.9,310
parking,32,Parking Gare Bercy Seine,Saemes,Intersection de la rue joseph Kessel et 210 quai de Bercy - prendre élargissement de chaussée,Paris,75012,"48.83578, 2.3801",71.307,TRUE,0.00,0.00,36.30,,vrai,FAUX,4,81
parking,33,Parking Méditerranée - Gare de Lyon,Saemes,26 rue de Chalon,Paris,75012,"48.845002, 2.375691",307,TRUE,0.00,0.00,37.10,,ture,FALSE,1.9,1622
parking,34,Parking Hector Malot,Saemes,Angle avenue daumesnil et rue Hector Malot,Paris,75012,"48.846882, 2.377121",307,TRUE,0.00,0.00,38.80,148.9,ture,TRUE,2,484
parking,35,Parking Charléty Coubertin,Saemes,17 avenue Pierre de Coubertin,Paris,75013,"48.817356, 2.344178",327,TRUE,0.00,0.00,,,ture,TRUE,1.85,445
parking,36,Parking Charléty Thomire,Saemes,Rue Thomire,Paris,75013,"48.81951, 2.34841",189,TRUE,0.00,0.00,35.1,79,ture,TRUE,1.9,907
parking,37,Parking Mairie du 14ème,Saemes,Rue Saillard,Paris,75014,"48.8331172, 2.3273865",828.827,TRUE,0.00,0.00,25.30,,ture,FAUX,1.9,164
parking,38,Parking Hôpital Sainte Anne,Saemes,100 rue de la Santé,Paris,75014,"48.827057, 2.341523","828,827,488,38",TRUE,0.00,0.00,32.30,,ture,TRUE,1.9,278
parking,39,Parking Porte d'Orléans,Saemes,1 rue de la légion étrangère,Paris,75014,"48.82097, 2.324525",189.327,TRUE,0.00,0.00,19.4,88.10,ture,TRUE,2.6,688
parking,40,Parking Didot,Saemes,Place Moro Giafferi / 2 rue Didot,Paris,75014,"48.833912, 2.321583",501.235,TRUE,0.00,0.00,32.4,103,ture,TRUE,1.9,287
parking,41,Parking Mairie du 15ème - Lecourbe,Saemes,143 rue Lecourbe,Paris,75015,"48.841671, 2.299584",501.376,TRUE,0.00,0.00,32.40,,ture,TRUE,1.9,314
parking,42,Parking Général Beuret,Saemes,31 rue du Général Beuret,Paris,75015,"48.83999, 2.30212",501.376,TRUE,0.00,0.00,35.1,110,ture,FALSE,1.85,170
parking,43,Parking Emile Augier,Saemes,face au 50 boulevard Emile Augier,Paris,75016,"48.86269, 2.2726",42,TRUE,0.00,0.00,36.30,,FALSE,TRUE,,70
parking,44,Parking Mozart,Saemes,56-67 avenue Mozart,Paris,75016,"48.854801, 2.269472",151,TRUE,0.00,0.00,35.40,,FALSE,FALSE,1.9,264
parking,45,Parking Flandrin,Saemes,face au 2 boulevard Flandrin,Paris,75016,"48.86438, 2.27219",41,TRUE,0.00,0.00,35.60,,FALSE,TRUE,,228
parking,46,Parking Jean Bouin,Saemes,17 rue Nungesser et Coli,Paris,75016,"48.845261, 2.253626",57,TRUE,0.00,0.00,32.4,,TRUE,FALSE,1.85,487
parking,47,Parking Gros Boulainvilliers,Saemes,15 rue de boulainvilliers,Paris,75016,"48.85217, 2.27691",376.42,TRUE,0.00,0.00,34.20,,TRUE,FALSE,1.95,415
